Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine,aromas,bottles,cases,fruit,notes,palate,red,single,six,wine
Amauta Absoluto Tannat,1.0,8.95,2020.0,14.5,75.0,8.0,10.0,9.0,El Porvenir De Cafayate,argento malbec rose sophisticated malbec rose offers intense aromas fresh red berries concentrated cherry fruit flavours hint melon beautifully balanced wine crisp acidity lively finish,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Otronia 45 Rugientes Pinot Noir,1.0,23.49,2018.0,13.5,75.0,8.0,10.0,9.0,Bodega Otronia,esquinas de argento pinot grigio delicious pinot grigio comes highaltitude vineyards mendoza cool desert climate confers delicate floral aromas wine well refreshing fruit flavours tangerines melon combined clean mineral notes crisp finishsold single bottles,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
Pulenta Estate XIV Pinot Gris,2.0,12.29,2021.0,12.5,75.0,8.0,6.0,9.0,Pulenta Estate,domaine drouhin roserock chardonnay roserock chardonnay confident expression excellent vintage nose palate wine inviting engaging intriguing – short kind experience one hopes wine aromatics range classic white flowers tart lemon meringue core texture energy buoyed bright acidity wellintegrated oaksold single bottles,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pulenta Estate III Cabernet Sauvignon,1.0,17.59,2019.0,14.5,75.0,8.0,6.0,9.0,Pulenta Estate,unico zelo tropo big red unico zelo tropo big red plenty blue fruit show neareven split syrah merlot birdwood theres herbal edge lovely dusting olive tapenade signature merlot tannin extraction restrained keep cool climate style plenty drinkabilitysold single bottles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Amauta Corte IV Innovacion Cabernet Franc Malbec,1.0,13.75,2019.0,14.0,75.0,8.0,10.0,9.0,El Porvenir De Cafayate,ancora pinot grigio rose wonderfully easy drinking pinot grigio rose dry fresh fruity rose delicate aromas red berries crisp lively palate good intensity ripe berry red cherry fruit,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pasarisa Patagonia Merlot,1.0,12.99,2018.0,14.0,75.0,8.0,10.0,6.0,Catena,pasion de bobal rosado bright raspberry colour delicate aromas strawberries cherries together hints rose violet palate well balanced right amount acidity heat alcohol important quality rosé soft minerality works add palate weight lemony acidity results clean refreshing finishsold cases six bottles,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Estampado White Blend,2.0,6.39,2020.0,13.5,75.0,8.0,6.0,9.0,Boutinot Argentina,bibi graetz bugia igt toscana bianco bugia comes selection best vineyards 90 years old giglio island tuscany rich minerality due granite soil island climate grapes handpicked soft pressed fermented stainless steel tanks 10 goes french barriquessold cases six bottles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pulenta Estate VIII Chardonnay,2.0,12.39,2021.0,13.5,75.0,8.0,6.0,2.0,Pulenta Estate,pilferer pinot noir marlborough fine vibrant fruit filled organic pinot noir marlbrorough polished yet soul complxity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bodega Catena Zapata Malbec Argentino 2019,1.0,64.49,2019.0,14.0,75.0,8.0,6.0,5.0,Catena,lomond wines pincushion sauvignon blanc cape agulhas lomond wines pincushion sauvignon blanc cape agulhas intense notes passionfruit layered citrus nuances distinctive oystershell minerality comes cape agulhas vineyardssold cases six bottles,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
Pasarisa Patagonia Pinot Noir,1.0,13.79,2017.0,14.0,75.0,8.0,10.0,9.0,Catena,romandiola pignoletto frizzante emilia romagna attractive delicately floral bouquet nose leading crisp refreshing flavour soft full harmonious palate delicately sparkling cross pinot grigio prosecco stylesold single bottles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
